# OPERATION KERNEL SHADOWS
# Required Tools for Infrastructure Setup
# Generated by: Viktor Petrov
# Date: 5 октября 2025
# Classification: CONFIDENTIAL

# === NETWORK RECONNAISSANCE ===
nmap                    # Network scanner
netcat                  # TCP/IP swiss army knife
tcpdump                 # Network packet analyzer
wireshark               # GUI packet analyzer (requires X11)

# === SECURITY TOOLS ===
fail2ban                # Brute-force protection
ufw                     # Uncomplicated Firewall
openssl                 # Cryptographic toolkit

# === MONITORING & LOGS ===
htop                    # Interactive process viewer
iotop                   # I/O monitoring
net-tools               # Network utilities (ifconfig, netstat)

# === DEVELOPMENT & AUTOMATION ===
git                     # Version control
python3-pip             # Python package manager
ansible                 # Infrastructure as Code

# === CONTAINERS (Docker) ===
# docker-ce              # Docker Engine (requires special repo)
# docker-ce-cli          # Docker CLI
# containerd.io          # Container runtime

# === OPTIONAL (for advanced tasks) ===
# john                  # Password cracker (for pentesting)
# hydra                 # Network login cracker
# aircrack-ng           # WiFi security testing

# NOTES:
# 1. Docker requires adding official Docker repository
# 2. Wireshark requires GUI (skip on headless servers)
# 3. Some tools may conflict with existing packages
# 4. Always backup /etc/apt/sources.list before modifications

# INSTALLATION ORDER:
# 1. Update package lists: apt update
# 2. Install basic tools first
# 3. Add Docker repo if needed
# 4. Install Docker last (dependency hell risk)
# 5. Verify all installations

